Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,class
0.010363,-0.014517,0.00041,-0.001592,-0.005124,-0.00793,-0.008385,-0.0037,Z
-0.005351,0.00383,-0.007264,0.010851,-0.006159,0.004251,-0.000218,-0.006799,N
0.001068,0.002101,-0.006995,-0.005377,-0.01124,0.005883,-0.00472,0.002872,X
0.007984,0.000048,-0.005495,0.000081,0.007005,0.012304,-0.001154,-0.008787,F
0.000566,-0.006575,-0.012776,-0.00686,0.005408,-0.007873,0.013712,-0.006813,N
-0.023986,0.001536,-0.016468,-0.01947,0.002937,0.013827,0.008563,0.013246,L
-0.003833,0.004434,-0.004188,0.003271,-0.002933,0.002578,0.003839,-0.004087,N
-0.005287,-0.005127,0.001405,-0.002003,-0.007988,0.002669,-0.01104,-0.011741,Z
-0.003228,-0.013177,0.010211,0.003867,0.011543,0.003511,-0.004814,0.012973,Y
-0.007863,0.000144,0.004229,0.003316,0.005043,-0.004747,-0.000405,-0.006497,I
0.012675,0.003399,-0.006859,0.000089,0.019051,0.007402,0.013551,-0.009011,W
0.000779,0.000506,0.001759,0.003411,-0.000735,-0.00793,0.001217,-0.004041,U
-0.000935,-0.00271,0.008457,-0.004508,-0.004403,-0.000207,0.010532,-0.00494,O
-0.003282,0.003399,0.004812,-0.000541,0.006923,-0.004437,-0.00252,-0.007845,T
-0.003578,-0.01072,-0.002687,0.006272,0.003614,-0.002271,-0.004777,0.004169,O
0.019042,0.007625,-0.001061,-0.000205,0.01023,0.003317,0.003801,-0.003864,P
-0.002536,-0.001445,0.006636,0.00739,0.002303,0.007045,-0.005097,-0.009497,C
0.003816,-0.005416,0.004484,-0.003701,-0.005731,0.017901,0.000596,-0.001144,G
0.010488,-0.006297,0.006484,-0.001106,0.005313,0.005018,0.006883,-0.006052,B
-0.00133,-0.005261,-0.002489,0.000003,0.000838,0.002819,-0.000487,-0.007289,K
0.004503,0.0074,-0.00276,0.011651,0.00386,0.006781,0.003071,-0.000155,W
0.007236,0.001208,-0.004099,-0.002942,-0.000715,-0.013015,-0.00266,0.000466,V
0.008548,0.002482,-0.008367,0.003825,0.007291,-0.002602,0.010951,-0.01092,W
-0.001241,0.003297,-0.00394,-0.000341,-0.005351,0.000854,0.003194,-0.00015,H
-0.001006,0.00324,0.003944,-0.014833,0.002615,-0.007679,-0.011157,-0.003222,Z
-0.006603,0.001418,-0.000956,0.003961,-0.00161,0.002622,-0.004808,-0.009006,J
-0.007979,0.00768,0.003728,0.005365,-0.003064,0.003957,-0.002453,-0.010765,F
-0.003108,0.0026,-0.001222,-0.003334,-0.000006,-0.005315,0.00595,0.007812,D
-0.002626,-0.003086,0.004435,-0.006229,-0.004512,0.00555,-0.003089,-0.003398,S
-0.002513,0.002133,0.003836,-0.007653,0.003583,-0.000041,-0.005106,0.004856,T
0.002837,0.006386,0.003868,0.002485,-0.004959,-0.011509,0.001864,0.001709,O
-0.002605,-0.006114,0.008956,-0.008988,-0.003327,-0.006002,-0.007516,-0.002736,Z
0.000932,-0.006356,0.009046,-0.010171,-0.016421,0.005223,-0.00157,-0.000742,B
-0.001852,0.001524,0.007937,0.006032,0.000409,-0.004929,-0.007335,-0.001321,F
0.00454,0.000989,-0.012498,0.017079,0.005095,-0.00192,0.009578,-0.001161,M
0.003964,0.013092,-0.008853,0.001943,-0.000384,-0.025023,-0.010652,-0.005306,T
-0.003282,-0.003687,0.000338,-0.000629,0.003839,-0.003847,0.004436,0.000557,O
-0.002026,-0.002501,-0.004092,-0.001428,-0.004045,0.004675,0.001241,-0.009362,K
-0.005517,-0.0017,0.002757,-0.004582,-0.010864,0.007732,-0.009929,-0.009974,Z
-0.002472,0.004238,0.003803,-0.000045,0.001404,-0.004013,-0.004051,-0.009769,T
0.011739,0.009312,-0.016498,-0.003669,-0.007217,0.004911,0.008186,-0.007656,W
-0.014511,-0.014478,-0.011008,0.007009,0.008929,0.007771,-0.004713,0.008664,A
0.006972,-0.008253,0.003505,0.002615,0.00016,-0.002212,0.003218,-0.003142,Q
0.026147,0.003324,0.01145,0.000101,0.000288,0.010196,-0.020171,0.014338,Z
0.017702,-0.006611,-0.001048,0.001183,0.001323,-0.00293,-0.010261,-0.000775,H
0.005641,-0.013864,-0.009753,-0.000633,0.007605,0.010938,0.004362,-0.005134,R
-0.007649,0.004147,0.001605,-0.003229,0.002233,-0.00183,-0.00066,-0.005786,I
-0.006523,0.005057,0.000968,0.008146,-0.000033,-0.004034,0.000821,-0.007576,R
0.007052,0.001111,-0.016913,-0.005688,-0.001276,-0.004172,0.00657,-0.000372,U
-0.000768,-0.00144,0.014907,0.004741,-0.000527,-0.001651,0.006994,0.016919,U
0.000029,-0.000299,0.00976,0.000283,0.003758,-0.001207,0.000763,0.001743,C
0.000906,-0.000592,-0.000613,-0.002462,-0.001359,-0.005763,0.004962,0.008024,O
0.002003,-0.004522,0.008497,-0.006004,0.005063,-0.001605,-0.004897,0.001599,E
-0.005754,0.006277,-0.000762,-0.000494,-0.004998,-0.005009,0.001759,0.001267,D
-0.00296,-0.004044,-0.006042,0.001794,0.003349,0.002518,-0.003687,0.003541,U
-0.007542,0.002972,0.004102,0.004158,0.001874,-0.003089,0.004108,-0.00556,R
-0.002401,-0.002949,0.004426,-0.004127,-0.005323,-0.000395,0.000516,-0.006357,E
0.006727,0.003253,0.004777,-0.004081,0.001128,0.007981,-0.001006,0.006171,G
-0.000183,0.01059,0.005204,-0.003733,0.007333,0.003271,0.013486,-0.004641,B
-0.0028,-0.002694,-0.022957,0.00089,-0.006099,0.004408,0.004681,-0.001222,A
0.003408,0.001784,0.003277,-0.001796,-0.000409,0.004,-0.006681,-0.006327,Y
0.017334,-0.006435,-0.009303,-0.004628,0.003329,-0.006416,-0.007463,-0.006248,Y
0.001193,-0.001067,-0.000814,-0.002927,0.001525,-0.002866,0.007961,0.008592,O
0.007509,-0.004692,0.008067,-0.009283,0.010015,0.010654,0.010855,0.004921,G
-0.008481,-0.000214,-0.010013,0.006176,0.010162,0.000461,-0.004886,0.011844,A
0.00153,-0.004781,0.004479,0.002078,-0.002119,0.009425,-0.005072,-0.004396,C
0.01249,-0.010269,-0.001053,0.003207,0.004728,0.005197,-0.007448,-0.000429,H
0.01138,-0.008631,-0.008046,-0.004685,0.00113,0.008901,-0.000921,-0.010034,R
-0.00343,-0.005885,0.000432,0.005364,0.001067,-0.003506,-0.006474,0.008868,J
-0.001472,-0.000708,-0.001081,0.016067,-0.018116,-0.009049,0.008151,0.009141,M
0.009808,0.008708,-0.008499,-0.002046,0.00022,-0.001813,-0.00511,0.000565,V
-0.00898,0.004249,0.001355,0.005931,-0.002674,-0.007212,0.001226,-0.008343,R
0.009854,0.005665,-0.003602,-0.0102,-0.001563,-0.002964,0.002519,-0.004102,T
0.013296,0.006895,0.000933,-0.000779,-0.008209,-0.005163,-0.007755,-0.000896,J
-0.005148,-0.003971,0.004697,-0.004763,-0.000907,0.003927,-0.000148,-0.004031,S
0.013571,0.005242,-0.007487,0.003515,0.002927,-0.001629,0.011258,-0.000203,G
-0.008987,0.00109,0.008856,-0.000192,0.000541,-0.001589,0.006807,-0.006372,D
-0.001827,-0.009106,0.009475,0.001003,-0.001254,-0.004136,0.003269,-0.003377,G
0.003385,0.006936,0.000555,0.001492,-0.000494,-0.006632,-0.009212,0.010261,Z
-0.008076,0.00385,0.003732,-0.013482,-0.006709,-0.006238,0.006356,0.007671,D
-0.016422,-0.008771,-0.010859,0.006035,0.007117,0.005458,-0.002305,0.001576,A
-0.00131,0.007885,0.003085,0.009925,0.009,-0.021691,-0.00762,-0.01064,T
-0.002978,-0.010277,0.00624,-0.000655,-0.002246,0.002241,0.006247,-0.006083,G
-0.015327,-0.004887,-0.004412,-0.002522,0.003976,0.00834,0.000097,-0.008878,L
0.002272,-0.016214,-0.005803,0.011301,0.003776,-0.001721,-0.003693,0.011945,W
-0.006284,0.001986,0.000655,-0.001594,0.003738,-0.002075,-0.006521,-0.008376,I
0.00928,0.000005,-0.01628,0.005753,-0.00495,0.001783,0.01741,-0.01246,M
-0.004114,-0.000323,0.016979,-0.000696,-0.003938,0.008469,0.006486,-0.002615,Q
0.001245,-0.010683,0.004033,-0.01033,-0.003078,-0.01,-0.010789,0.00202,S
0.000143,-0.004608,0.009845,-0.00751,0.008273,0.007109,-0.000288,0.01297,Q
0.005082,0.000457,0.004249,0.006278,-0.005339,0.003792,-0.005012,0.014346,V
-0.000084,0.008131,0.007176,-0.008238,0.006746,-0.007563,0.012362,0.000221,R
0.021047,0.006959,0.010641,-0.002535,-0.00561,0.006898,-0.018853,0.008197,Z
0.0045,0.001879,0.00347,-0.000353,-0.0012,0.006532,-0.000623,-0.004046,P
0.00637,0.011237,-0.00473,0.010979,0.01583,0.004696,0.009119,-0.005403,W
-0.007018,0.015422,-0.00231,-0.006611,-0.004429,0.012801,-0.006993,-0.003812,I
-0.006819,0.013423,0.003638,0.008933,0.006063,0.00171,-0.012218,-0.006519,F
0.014466,0.002935,-0.000348,-0.006307,0.003533,-0.005209,-0.005355,-0.002321,F
-0.006801,0.014267,-0.000634,-0.003949,-0.000696,0.001694,-0.00031,0.000835,J
0.003065,0.016512,0.002326,0.002281,-0.004151,0.004916,-0.003395,-0.00064,V
0.008222,-0.013349,-0.006184,0.002016,0.006854,-0.004929,0.006702,-0.006915,M
0.022663,-0.012931,-0.015407,-0.008034,0.000498,-0.014144,0.019398,0.005182,M
-0.000053,-0.002418,0.002459,0.004463,0.003677,-0.000502,0.000071,-0.000174,O
-0.00982,0.003893,0.002284,0.011126,0.000426,0.002805,-0.000748,-0.012907,J
0.000017,-0.012653,-0.00854,-0.010756,-0.005529,0.010711,-0.014145,0.000044,E
-0.013439,0.006901,-0.010679,0.023185,-0.007788,-0.002182,0.002262,0.009831,M
0.003437,-0.001137,-0.006241,0.010289,0.011416,0.000954,-0.004003,0.01051,K
-0.004575,0.006108,0.008682,-0.002391,0.016018,-0.002547,0.004657,0.00176,P
-0.004306,0.001241,-0.007251,-0.003303,0.004899,0.005801,0.002558,0.010733,A
-0.000043,-0.005892,0.003813,0.000769,-0.001478,0.00954,0.000555,-0.007468,G
0.000738,-0.004315,0.010671,-0.005214,0.005649,-0.004594,0.007183,0.006764,V
-0.002984,-0.004673,0.001727,-0.005001,-0.003011,-0.008849,-0.007732,-0.002157,X
-0.010972,-0.00741,-0.004601,0.010078,0.003963,0.008196,0.001946,-0.00437,A
0.000127,0.004352,0.000204,-0.002178,-0.007289,0.004464,-0.00757,0.002601,Z
0.011193,-0.020853,0.005657,-0.010136,0.005413,0.008396,-0.003088,0.003351,S
0.001421,0.008049,-0.008653,0.003081,-0.001323,-0.002115,0.017608,0.002107,M
-0.000107,0.005181,0.002506,-0.016616,0.000138,-0.006349,-0.012107,-0.002891,Z
-0.001845,0.002237,-0.002023,0.015436,-0.020765,-0.003771,0.007039,0.007886,M
0.011991,0.000499,-0.005278,0.001178,0.015653,-0.015614,0.013916,0.017538,W
-0.000984,0.011092,-0.000031,-0.001633,0.018038,-0.006,-0.012683,0.00644,T
0.00015,-0.011968,-0.008546,-0.009828,-0.004797,0.009152,-0.010251,-0.008307,E
-0.004987,0.007105,0.002854,-0.001152,0.001767,-0.003612,-0.002265,-0.003309,I
-0.004661,0.002118,-0.003468,0.007997,-0.00007,-0.00388,-0.003745,-0.005198,H
0.001002,0.006151,-0.001501,-0.005121,-0.006641,-0.000301,0.00082,0.006433,U
-0.002617,-0.005848,0.001171,0.000996,-0.004627,-0.000145,-0.000954,0.001346,X
0.002365,0.003441,0.005613,0.008547,0.004128,0.005188,0.00001,-0.007084,V
0.002712,-0.002114,-0.00468,0.000766,-0.000734,0.002573,0.010086,-0.007688,W
-0.006907,0.000585,0.005015,-0.003199,0.001251,-0.003213,0.006517,-0.003562,D
-0.002808,0.003562,0.000644,0.00333,0.004502,-0.012909,-0.000523,-0.000383,R
-0.001476,-0.003719,0.004992,-0.004565,-0.003378,0.004884,-0.004501,-0.000483,S
-0.00354,-0.001573,0.008298,-0.001664,0.011826,-0.003132,-0.003145,0.002854,F
0.007127,-0.017239,-0.008871,0.003575,0.002678,-0.001729,-0.003256,0.00039,N
0.002817,0.011988,0.002313,-0.006343,-0.013321,0.004955,0.000131,0.000955,Z
-0.00051,0.004023,0.005656,-0.01831,-0.016023,0.000391,-0.015181,-0.000826,Z
-0.004953,0.00997,-0.002711,-0.008579,-0.005195,0.00216,-0.003511,-0.004791,I
0.008212,0.012602,0.0165,-0.000999,0.006098,-0.001556,-0.000592,-0.005886,J
0.008861,-0.005717,0.006107,0.006055,0.001809,0.001297,-0.004906,-0.002473,Q
0.000911,0.010609,-0.001033,0.000396,-0.000814,-0.001333,-0.002675,-0.003346,F
-0.0029,-0.003465,0.007311,0.002001,-0.001795,0.007848,0.005091,0.002747,J
-0.000097,-0.007724,0.002661,0.005975,-0.006761,-0.00847,-0.003513,-0.005831,R
-0.001497,0.000203,0.002691,-0.002261,-0.004515,-0.00015,-0.009946,-0.000261,S
-0.003343,-0.002315,0.000533,-0.000886,-0.00134,-0.004234,0.002669,-0.001397,H
0.003707,-0.007501,-0.001471,0.003618,0.002578,-0.004416,0.00241,-0.002066,B
-0.002025,-0.00428,0.013921,-0.000506,0.002805,0.003329,0.006071,-0.00022,Q
-0.01261,-0.005456,0.000382,0.009473,0.007547,0.007261,-0.000172,0.001337,A
0.004393,0.006209,0.001568,0.003519,0.005557,0.005179,-0.003146,0.000062,Y
-0.004357,-0.000343,0.006536,-0.007435,-0.009702,-0.001005,0.004813,-0.004416,P
0.00724,0.00514,-0.003171,-0.011266,0.002604,-0.014286,-0.002227,-0.006708,T
0.008421,-0.007744,-0.001193,0.000902,0.010701,0.005334,0.009016,-0.002773,C
-0.001394,-0.007415,0.00005,0.006028,-0.004111,-0.007379,0.017212,0.009249,H
0.002328,-0.004213,0.00282,-0.000644,-0.006022,0.01139,-0.000199,-0.007608,G
0.002796,-0.000426,-0.014121,-0.001828,-0.010834,-0.000518,0.002113,-0.003218,N
0.004873,-0.006627,0.010585,-0.008639,0.006467,-0.00744,-0.014425,0.00127,Z
0.022226,0.003107,-0.005249,-0.003399,-0.004932,-0.001728,-0.00553,-0.003118,P
-0.006275,-0.006486,0.002807,-0.001061,-0.00578,0.004432,-0.010396,-0.005747,Z
-0.001071,-0.014254,0.002974,-0.000357,0.003807,0.003143,-0.00694,-0.008438,E
-0.008868,0.001646,0.00376,0.003696,-0.001982,0.000656,0.003738,-0.00871,R
-0.00088,-0.001802,0.002037,-0.000524,0.001444,0.004518,-0.002771,-0.007377,E
-0.000103,0.002003,0.005196,-0.004343,-0.002468,0.008469,0.001802,-0.007866,E
0.029707,0.004785,0.003183,-0.004823,0.00442,0.002511,-0.005335,0.001879,Q
-0.002005,0.004716,-0.00118,-0.003612,0.001526,-0.004347,-0.011528,0.003368,T
-0.00222,-0.004547,0.005824,-0.003464,0.009194,-0.001471,-0.00734,0.002882,F
-0.007617,0.00227,0.000459,-0.010075,0.007369,-0.010315,0.007967,0.006797,D
-0.001901,-0.007286,0.006545,0.011798,0.000699,0.002707,-0.000241,-0.002,J
0.017952,-0.00892,-0.007348,-0.00554,-0.001135,-0.009105,-0.004242,-0.000835,Y
0.000233,-0.000483,-0.000411,0.0015,0.004044,0.001553,-0.009776,-0.001472,S
-0.004411,-0.00127,-0.004283,-0.014727,-0.013722,-0.002018,0.004872,0.003773,O
0.009776,0.003806,-0.00351,0.004601,0.00651,-0.009102,0.012031,-0.008097,O
-0.004556,-0.003136,0.00429,-0.017754,-0.014882,0.001737,-0.01461,-0.00627,Z
0.001526,-0.007014,0.0021,-0.001566,0.006757,-0.001624,-0.003579,0.00602,D
-0.008051,0.00923,0.004341,0.001183,0.001429,0.008616,-0.006209,-0.010974,I
-0.004667,0.00306,-0.008393,-0.004413,-0.00453,-0.001289,0.011885,-0.000542,N
-0.001616,-0.005465,0.002469,0.006773,0.003082,-0.011375,0.015824,-0.000866,H
0.00088,0.00519,-0.002871,0.000446,0.003449,0.004956,0.002508,0.010733,U
0.006687,-0.011588,-0.002773,0.007018,-0.001023,0.00584,0.002011,-0.003873,C
0.00393,-0.011831,-0.014669,0.003565,0.004335,-0.006354,-0.008788,0.004944,U
0.005485,0.000157,0.010722,0.0018,0.01011,0.004977,0.00731,0.004051,O
0.00863,-0.018824,-0.009086,-0.004573,0.00919,0.010963,-0.008017,-0.007595,E
-0.004897,0.004376,-0.005787,0.011297,-0.002428,-0.008945,0.007177,0.001778,M
0.007973,0.001863,-0.004445,-0.012465,-0.005992,-0.00764,-0.003023,0.007602,Y
0.007947,0.000038,-0.000293,-0.009283,-0.009475,0.012611,0.00542,-0.007673,C
-0.002742,-0.011117,0.004418,-0.002033,0.005666,0.00418,-0.00536,0.003058,Y
-0.006732,-0.001814,0.00344,-0.002171,-0.007133,0.00221,-0.011242,-0.004094,Z
-0.007646,0.003621,0.003224,0.011313,0.001374,0.005206,-0.005232,-0.010327,J
-0.00437,-0.001221,0.010804,0.002621,-0.001492,-0.000701,-0.001692,-0.009566,B
0.00426,-0.008223,0.001745,-0.00029,-0.003925,0.002695,0.001542,-0.006216,C
0.003354,-0.007711,0.00021,-0.018273,-0.007016,-0.007739,-0.011274,0.008242,S
-0.006243,0.012263,0.001937,0.01178,-0.000307,-0.006405,-0.01086,-0.009672,F
0.003992,-0.004887,0.007333,-0.001509,0.00188,0.003399,0.00684,-0.005538,O
0.000614,0.001375,-0.001058,-0.00416,0.004406,-0.001762,-0.011931,-0.002239,T
-0.006434,-0.004582,0.002854,0.008102,-0.004384,0.011416,0.004978,-0.009063,K
0.013015,-0.012685,-0.003407,-0.006945,0.004226,0.008982,-0.00102,-0.012632,E
0.001619,0.005488,0.012049,-0.005094,0.005199,-0.000763,0.006363,0.004859,F
0.003509,0.015681,-0.001738,0.002293,0.011394,0.002288,0.00011,-0.00316,V
-0.000056,-0.003303,0.015729,-0.004274,0.004558,0.009912,0.014546,0.001425,Q
0.001979,0.008805,0.003953,-0.004013,0.010169,0.005776,-0.009387,0.00927,Y
-0.002314,-0.007545,0.004401,-0.002622,0.002305,0.006386,-0.008023,-0.005102,Y
-0.003141,-0.003771,0.000316,-0.002145,-0.003588,-0.004541,0.004792,0.003334,O
-0.001283,-0.005932,-0.002912,0.004113,-0.006909,-0.004296,-0.002161,-0.00459,N
-0.005333,-0.002939,-0.009894,0.010519,-0.000285,0.006518,-0.004906,0.007864,A
-0.003982,0.007268,0.001931,0.001418,-0.002127,0.005031,-0.005152,-0.01106,F
-0.001075,-0.002245,-0.005024,-0.000886,-0.011015,-0.007831,-0.003557,-0.00115,R
0.009111,0.022766,-0.008999,-0.003432,-0.003662,-0.027158,-0.014964,0.003126,T
-0.001849,0.00727,-0.009192,0.012118,-0.003002,-0.004016,0.003568,0.009379,M
-0.007802,-0.002291,0.005946,-0.001085,-0.002617,-0.007137,-0.001086,0.000123,D
-0.001476,0.004447,0.005891,-0.001672,0.001774,-0.001391,0.010448,-0.002362,P
0.001374,0.002992,0.002799,-0.019697,-0.013921,-0.00269,-0.01566,0.008904,Z
-0.000843,-0.006175,0.006442,-0.00123,0.010996,0.000325,-0.002,0.00468,Y
0.00032,-0.000358,0.002421,-0.000301,0.000753,-0.005608,-0.010368,-0.005898,T
-0.002939,0.005438,0.006687,0.009819,0.004589,-0.0208,0.000342,0.00369,B
-0.009439,-0.010284,-0.002214,0.008911,0.007104,0.009036,-0.000964,0.004379,A
0.007189,-0.019405,-0.003533,0.001428,0.002705,-0.004749,-0.009409,0.005145,A
0.004622,0.004743,-0.003714,0.01221,0.00416,0.003533,0.001407,-0.002758,W
0.013798,0.009181,0.003044,0.000146,0.003321,0.001473,-0.000669,-0.006217,P
-0.006928,0.002451,-0.002898,0.021306,-0.007779,0.004802,-0.004176,0.005367,M
0.008169,-0.023966,-0.01873,0.001972,-0.00356,-0.002543,-0.006076,-0.004229,U
-0.000778,-0.001559,0.010874,-0.00254,-0.003332,-0.005941,-0.004578,-0.000144,E
-0.002661,-0.009456,-0.000587,0.007319,-0.010115,-0.007928,0.01786,0.00521,N
0.007913,0.009563,-0.008954,0.000748,-0.002961,0.00266,-0.005661,0.002919,V
0.000751,0.008826,0.004912,-0.003603,-0.005578,0.005085,-0.002144,-0.005227,P
0.001358,-0.002452,0.010193,-0.004975,0.003143,0.00206,0.004285,-0.003463,P
0.005836,0.005575,0.01084,-0.006596,-0.000742,-0.005097,0.002943,0.004649,V
0.003331,-0.006236,0.006023,-0.003,0.002813,0.012194,0.008748,-0.00189,G
-0.000681,-0.006803,0.004352,0.010009,-0.008305,0.009704,0.000123,0.00972,J
-0.006435,-0.003651,-0.005839,0.007096,0.002025,0.006317,-0.003688,0.003248,A
-0.002051,0.008085,-0.00221,0.020163,-0.007661,-0.011951,0.007614,0.01245,M
-0.007235,0.004255,0.00627,0.003296,0.002941,-0.008209,-0.004637,-0.009289,T
0.00905,-0.004308,0.011906,0.002576,-0.000169,0.00477,-0.002751,0.005157,Q
-0.002615,0.009416,0.004404,-0.001176,0.002534,0.00393,0.002944,-0.00463,F
-0.001081,0.008921,-0.006595,-0.011838,0.006543,-0.001778,-0.009759,-0.003796,I
0.007161,0.004349,-0.015046,-0.005553,-0.004253,-0.001621,0.005184,0.004856,U
0.007515,0.002517,0.002808,0.010035,-0.016884,0.009231,-0.005261,0.014363,J
-0.003157,-0.007954,0.002007,0.001595,-0.001643,0.004806,-0.009259,0.001694,S
-0.002824,0.007797,-0.003327,-0.00353,-0.000692,0.000385,0.008452,0.000636,L
0.005754,0.020946,0.011045,-0.004321,-0.012919,0.004873,-0.003815,-0.007588,J
0.014345,-0.009019,0.00584,-0.002421,0.003535,0.001859,-0.00243,-0.007679,S
0.009954,0.00401,-0.00766,-0.001757,0.00311,-0.006453,0.003268,-0.006535,V
0.001787,0.003123,-0.0081,-0.008103,0.000101,-0.004592,-0.004331,0.005553,C
0.002112,-0.00572,-0.002124,0.001769,-0.002271,-0.008404,-0.00273,0.005541,O
0.017808,-0.001007,0.002641,-0.001199,0.005861,-0.006553,0.000304,0.008417,Q
-0.00307,-0.005441,-0.008263,0.012678,0.000223,-0.008306,-0.023517,0.004064,Z
-0.00107,-0.012646,-0.001475,-0.007343,0.000027,0.009187,-0.010482,-0.006568,E
0.007587,-0.005416,0.003127,-0.003573,-0.00719,0.005027,0.001805,-0.002339,C
0.0068,-0.000432,-0.012064,0.00376,0.010481,-0.009073,-0.003842,0.007823,A
0.002674,0.002726,-0.007608,-0.003932,-0.00112,-0.00637,0.002238,0.00332,U
0.002014,0.006046,-0.007101,-0.014049,-0.004331,0.000748,0.026278,-0.002785,N
-0.005261,0.010215,-0.008411,0.004413,-0.008783,-0.002261,0.010284,0.004223,M
0.00604,-0.00965,0.004695,0.001459,0.008338,-0.011128,0.001831,-0.011524,S
0.000048,-0.001847,-0.000647,0.001657,-0.004386,-0.007204,0.002619,-0.003707,N
-0.004148,-0.003952,0.01208,0.000979,0.002387,-0.004893,0.002656,-0.007337,E
-0.001216,0.003449,0.009031,-0.00094,0.002264,0.001824,-0.001946,-0.007919,P
0.00227,0.001743,0.005846,0.007898,0.005385,-0.000806,-0.007098,0.001801,Y
0.000886,-0.001199,-0.001539,-0.013671,-0.01593,0.005408,0.002806,0.000322,G
0.004814,0.001655,-0.00347,-0.003697,-0.005018,0.008818,-0.006944,0.000169,Z
-0.006559,0.008101,0.004557,0.003306,0.00427,0.007031,-0.008797,-0.005303,I
-0.006273,-0.003089,0.001364,0.005855,-0.000562,-0.013546,-0.006695,-0.004149,R
0.003449,-0.008931,0.000123,-0.011879,-0.007179,0.00069,-0.007447,-0.006595,Z
0.00802,0.005314,0.003383,-0.000896,0.002268,-0.011712,0.000481,-0.002391,T
-0.000187,0.001121,-0.001475,-0.006452,-0.006161,0.010245,-0.007351,-0.00179,Z
-0.00154,-0.006052,-0.004317,-0.012054,-0.010068,0.004213,0.001694,0.004374,G
-0.00199,0.00107,0.003037,-0.000095,-0.001996,-0.00264,0.001392,-0.006082,F
-0.002184,-0.001747,-0.002803,0.008136,-0.00139,0.008319,-0.004666,-0.006304,K
-0.001599,-0.003255,0.005461,0.003854,-0.001303,0.009188,0.000103,-0.003256,G
-0.002291,-0.004604,0.003102,-0.012391,-0.007028,-0.000059,0.003483,0.003275,G
0.006782,0.005306,-0.004352,0.005737,0.00721,0.001373,0.006082,-0.004079,W
-0.004527,-0.010651,0.002774,-0.006101,-0.009726,-0.003317,-0.005851,-0.007725,Z
0.001545,0.007385,-0.009052,0.002384,0.014486,0.008896,-0.002619,0.012454,K
-0.00758,-0.006482,-0.006383,0.005926,0.00539,0.009455,-0.00157,0.009991,A
